Rank,Tier,Vendor,Family,Product,Compute_Class,AI_Performance,CPU_And_Architecture,Camera_ISP_And_Sensor_IO,Safety_Qualification,Power_Position,Software_Ecosystem,Best_ADVIS_Use,Main_Limitations,Access,Official_Source
11,A2 — New automotive cost/performance,Renesas,R-Car V4,R-Car V4M,Automotive ADAS SoC,Up to 17 TOPS,Up to 4× Cortex-A76 + 3× lockstep Cortex-R52,"High-speed image processing for cameras, radar and lidar",R-Car automotive safety platform; ASIL-D-capable family positioning,About 5 W cited for full-feature 8MP smart camera,"RoX SDV platform, Linux/RTOS/QNX ecosystem","Excellent ADVIS Control/Fusion candidate: dual camera now, surround/radar later, high TOPS/W","Newer platform, RFQ pricing and limited low-volume board access",RFQ / design-in,https://www.renesas.com/en/about/newsroom/renesas-leads-adas-innovation-power-efficient-4th-generation-r-car-automotive-socs
12,A3 — Automotive fusion,Renesas,R-Car V4,R-Car V4H,Automotive ADAS/AD SoC,Up to 34 TOPS class,4× Cortex-A76 + lockstep Cortex-R52 family,Multi-camera/radar/lidar and parking/driver-monitor processing,Automotive safety platform up to ASIL-D system designs,High but power-efficient 7nm class,"RoX, Linux/RTOS/QNX; broad partner ecosystem",Production-proven high-end ADVIS surround/fusion benchmark; camera+radar+DMS on one domain controller,RFQ-only and unnecessary for first low-cost product,RFQ / OEM programme,https://www.renesas.com/en/products/automotive-products/automotive-system-chips-socs
13,A1/A2 — General automotive edge,NXP,i.MX,i.MX 95 automotive,Safety-enabled applications processor,2 TOPS-class eIQ Neutron NPU,Up to 6× Cortex-A55 + Cortex-M7/M33 safety domains depending SKU,Integrated ISP; up to 8×1080p30 through virtual channels,ISO 26262 ASIL-B automotive positioning; EdgeLock security,Low-to-mid,"Linux, Android, FreeRTOS, QNX; eIQ/ONNX","DMS, OMS, surround viewing, gateway and cost-sensitive dual-camera analytics where 2 TOPS is sufficient",Not a purpose-built high-end ADAS perception SoC; safety concept and camera latency require careful validation,Orderable / EVK,https://www.nxp.com/products/i.MX95
14,A1 — Legacy automotive,NXP,S32V,S32V234,Automotive vision processor,APEX-2 vision accelerators; TOPS not directly comparable,Quad Cortex-A53 + dual Cortex-M4,MIPI CSI-2 and ISP/vision accelerators,ISO 26262-oriented automotive platform,Mid,Linux/AutoSAR/SDK,"Legacy front-camera, surround-view and machine-vision reference",Old ecosystem and limited modern NPU capability; avoid new production unless existing Tier-1 support,Legacy / selected supply,https://www.nxp.com/products/S32V234
15,A3 — Central vehicle compute,NXP,S32N,S32N55,Automotive super-integration processor,AI via attached accelerator / configuration-specific,High-performance Arm cores plus safety compute,Central vehicle networking and mixed-criticality consolidation,ASIL-D-capable platform positioning,High,"CoreRide platform, AUTOSAR, Linux/QNX ecosystem",Future zonal/central compute host with external AI accelerators; not a compact smart-camera SoC,Not an integrated camera-AI solution; cost and architecture far beyond ADVIS A-sample,RFQ / OEM programme,https://www.nxp.com/products/processors-and-microcontrollers/s32-automotive-platform/s32n-vehicle-super-integration-processors
16,A1 — Automotive vision specialist,Ambarella,CVflow FS,CV22FS,Automotive monocular camera SoC,Vendor CVflow performance; not published as comparable TOPS,4× Cortex-A53 + lockstep Cortex-R52 safety island,"8MP+ at 30fps, HDR/LFM ISP, optical-flow engine, multi-channel sensor input",ISO 26262; current product page positions ASIL-C,Very low; windshield camera target,"Ambarella SDK, Linux/RTOS, CVflow toolchain",Excellent low-power front camera plus DMS or separate camera-ECU candidate,"Closed design-in, NDA tools, limited public pricing and smaller developer community",RFQ / Tier-1 channel,https://www.ambarella.com/products/automotive/
17,A2 — Automotive vision specialist,Ambarella,CVflow FS,CV2FS,Automotive stereo vision SoC,Vendor CVflow performance; not directly comparable,4× Cortex-A53 + lockstep Cortex-R52,"8MP+, stereo disparity, optical flow, HDR/LFM, CAN-FD/GbE",ISO 26262; current product page positions ASIL-C,Low-to-mid,Ambarella SDK/CVflow,"Stereo/front camera, ADAS+DMS, depth and L2+ smart ECU",NDA ecosystem and sourcing; custom software porting cost,RFQ / Tier-1 channel,https://www.ambarella.com/products/automotive/
18,A1 — Automotive in-cabin/edge,Ambarella,CVflow,CV25AQ / CV28AQ class,Automotive AI vision SoC,Vendor CVflow performance; SKU-specific,Arm application cores,Integrated ISP/codec for DMS/OMS and viewing,Automotive-qualified variants; exact ASIL by SKU,Low,Ambarella SDK/CVflow,"DMS/OMS, e-mirror, fleet camera and lower-complexity ADAS variants",Exact safety package and forward-ADAS suitability require SKU-level NDA confirmation,RFQ,https://www.ambarella.com/products/automotive/
19,A3 — Automotive central AI,Ambarella,CV3,CV3-AD family,Automotive AI domain SoC,CVflow3 AI performance; configuration-specific,High-performance Arm + safety cores,Multiple cameras/radars and centralized perception,Automotive safety design-in,Mid-to-high,Ambarella CVflow3 SDK,"Surround perception, parking and camera-radar fusion while retaining low-power vision focus",Public specifications and pricing limited; programme access required,RFQ / OEM programme,https://www.ambarella.com/products/automotive/
20,A1 — Closed integrated ADAS,Mobileye,EyeQ6,EyeQ6L,Purpose-built ADAS SoC + stack,"Vendor-specific, not directly comparable",Purpose-built heterogeneous EyeQ architecture,Single-box windshield ADAS,Automotive production platform,Ultra-low-power camera ECU,Mobileye closed perception/REM ecosystem,Fastest path for proven entry/premium L2 ADAS through Mobileye programme,Not open for ADVIS own perception stack; vendor lock-in and limited model portability,OEM/Tier-1 nomination,https://www.mobileye.com/news/mobileye-ces-2022-tech-news/
21,A2 — Closed surround ADAS,Mobileye,EyeQ6,EyeQ6H,Purpose-built surround ADAS SoC + stack,Equivalent to two EyeQ5 in Mobileye positioning,Purpose-built heterogeneous EyeQ architecture,"Full surround, visualization and heavy AI workloads",Automotive production platform,Efficient,Mobileye closed stack,"Premium surround ADAS, DMS and partial automated driving",Not an open silicon platform; poor fit for proprietary ADVIS stack ownership,OEM/Tier-1 nomination,https://www.mobileye.com/news/mobileye-ces-2022-tech-news/
22,A4 — Closed autonomy,Mobileye,EyeQ Ultra,EyeQ Ultra,Autonomous-driving SoC,176 TOPS vendor-stated,Purpose-built heterogeneous architecture,Multi-sensor consumer AV,Automotive-grade production target,High-end but efficiency-focused,Mobileye full stack/REM,Benchmark for integrated AV compute,Far beyond ADVIS cost and openness requirements,OEM programme,https://www.mobileye.com/news/mobileye-ces-2022-tech-news/
23,A2/A3 — Automotive platform,Qualcomm,Snapdragon Ride,Snapdragon Ride SoC family,Automotive ADAS/AD SoC,Historically 30 TOPS entry to scalable platform; SKU-specific,Heterogeneous CPU/GPU/AI/DSP + safety island,Front camera through multi-modal surround,Designed for ASIL-D systems,Mid-to-high,"Ride SDK, Ride Vision/Pilot, Linux/QNX/AUTOSAR ecosystem",Scalable L1/L2 through L2+; strong global OEM ecosystem,"Detailed SKU specs, pricing and low-volume access are restricted",RFQ / OEM/Tier-1,https://www.qualcomm.com/automotive/solutions/snapdragon-ride
24,A3 — Mixed-criticality central,Qualcomm,Snapdragon Ride,Ride Flex SoC,Automotive cockpit+ADAS central SoC,Configuration-specific,Heterogeneous compute with dedicated ASIL-D safety island,"Front/surround camera, radar, lidar and cockpit/DMS consolidation",ASIL-D safety-island architecture,High,"Ride SDK, hypervisor, multi-OS, AUTOSAR",Future ADVIS cross-domain platform and high-volume OEM central computer,Not appropriate for lowest-cost standalone camera; commercial access requires programme scale,RFQ / OEM/Tier-1,https://www.qualcomm.com/news/releases/2023/01/qualcomm-unveils-snapdragon-ride-flex---the-automotive-industry-
25,A4 — Premium central,Qualcomm,Snapdragon Ride,Ride Elite,Next-generation automotive central SoC,Not publicly fixed; sampling platform,Next-generation heterogeneous compute,High-end ADAS/AD and cockpit integration,Automotive safety platform,Very high,Ride SDK/Pilot ecosystem,Premium future benchmark,"Sampling/new, expensive, inaccessible for cost-first A-sample",RFQ / strategic design-in,https://www.qualcomm.com/automotive/solutions/snapdragon-ride
26,A3 — Automotive central,NVIDIA,DRIVE,DRIVE Orin,Automotive ADAS/AD SoC,Up to 254 TOPS,Arm CPU + Ampere GPU/DLA/PVA,Large multi-camera/radar/lidar sensor suite,ASIL-D platform/safety architecture,High,"DriveOS, CUDA, TensorRT, DriveWorks, QNX",High-end L2+ through L4 research and production; easiest large-model prototyping path,"Power, cost, cooling and software complexity exceed ADVIS smart-camera goals",OEM/Tier-1/research access,https://www.nvidia.com/en-in/self-driving-cars/drive-platform/hardware/
27,A4 — Automotive central,NVIDIA,DRIVE,DRIVE Thor,Automotive central superchip,"More than 1,000 INT8 TOPS current positioning",Blackwell GPU + advanced CPU,ADAS/AD + cockpit and very large sensor suites,ASIL-D platform positioning and redundancy,Very high,"DriveOS, CUDA/TensorRT, Hyperion",Future L2+/L4 benchmark and foundation-model research,Massive overkill for ADVIS; no low-cost direct purchase path,OEM/Tier-1,https://www.nvidia.com/en-us/solutions/autonomous-vehicles/in-vehicle-computing/
28,A1 — China automotive,Horizon Robotics,Journey,Journey 3,Automotive ADAS SoC,5 TOPS,BPU + application processors,Smart camera and limited multi-sensor configurations,Automotive mass-production platform; exact safety package by programme,Low,Horizon toolchain and perception stack,China-market low-cost ADAS and smart camera benchmark,"Toolchain access, export/support and compliance documentation outside China need validation",RFQ / ecosystem partners,https://www.horizon.auto/en/solutions/horizon-journey
29,A3 — China automotive,Horizon Robotics,Journey,Journey 5,Automotive ADAS SoC,128 TOPS,BPU heterogeneous compute,Multi-camera/radar domain controller,ASIL-B certified product positioning,About 30 W vendor-stated,Horizon toolchain and full-stack partners,High-performance L2+/NOA benchmark with strong China production evidence,Not likely low-cost or easy to source globally; geopolitical/export and support risks,RFQ / China ecosystem,https://www.horizon.auto/en/news/horizon-news/433
30,A1–A4 — China automotive,Horizon Robotics,Journey,Journey 6 series,Scalable automotive ADAS SoC family,10–560 TOPS across six configurations,Next-generation BPU architecture,Smart camera through urban-driving central compute; up to automotive 10GbE,Automotive-grade family positioning,Configuration-specific,Horizon SuperDrive/Matrix ecosystem,One family spanning entry smart camera to high-end surround ADAS,"Exact per-SKU public specs, export availability and tool access need RFQ",RFQ / China and JV ecosystem,https://www.horizon.auto/en/solutions/horizon-journey/horizon-journey6?tp=1
31,A2 — China automotive,Black Sesame Technologies,Huashan,A1000,Automotive ADAS SoC,58 TOPS,Automotive heterogeneous CPU/NPU/ISP architecture,Multi-camera and sensor fusion,AEC-Q100 Grade 2 and ASIL-B certification claimed by company,Mid,Black Sesame toolchain; QNX partnerships,Cost-performance alternative for L2+/L3 domain controller and camera-radar fusion,Limited global low-volume access and independent ecosystem evidence,RFQ / module partners,https://www.blacksesame.com/en/npu/
32,A3 — China automotive,Black Sesame Technologies,Huashan,A1000 Pro,Automotive ADAS SoC,Higher than A1000; commonly positioned around 100 TOPS class,Automotive heterogeneous architecture,Multi-camera/radar/lidar domain compute,Automotive safety programme,Mid-to-high,Vendor SDK/QNX ecosystem,China-market L2+ and centralized ADAS alternative,Exact current specs/pricing require NDA; global support risk,RFQ,https://www.blacksesame.com/en/
33,A4 — China automotive,Black Sesame Technologies,Huashan,A2000 family,Next-generation automotive AI SoC,High-performance generation; public SKU detail limited,Next-generation heterogeneous architecture,Urban NOA and central driving compute,Automotive design-in,High,Vendor ecosystem,Future high-end benchmark,New and programme-restricted; do not baseline without silicon and toolchain evaluation,RFQ,https://www.blacksesame.com/en/
34,A1 — Korea automotive specialist,Nextchip,APACHE,APACHE5 / NVS2900,Automotive edge vision processor,1.6 TOPS,Quad Cortex-A53 + NPU and imaging engines,Camera up to 5.7MP; integrated image processing,ISO 26262 ASIL-B compliant positioning,Very low,Nextchip SDK; perception partner ecosystem,"Very promising low-cost Forward Vision, rear/front AEB, DMS/OMS and free-space edge processor",Low AI headroom for simultaneous advanced ADAS+DMS; smaller developer ecosystem and RFQ-only pricing,RFQ / module partners,https://www.nextchip.com/en/adas/adas.php?idx=5
35,A2 — Korea automotive specialist,Nextchip,APACHE,APACHE6 class,Next-generation automotive edge processor,Vendor/SKU-specific; higher than APACHE5,Automotive heterogeneous vision architecture,Higher-resolution smart-camera and edge perception,Automotive safety target,Low-to-mid,Nextchip SDK,Future low-power non-TI smart-camera candidate,Public details and sampling status must be confirmed,RFQ,https://www.nextchip.com/en/adas/
36,A1 — Automotive edge vision,indie Semiconductor,Vision,iND881,Automotive edge-AI video SoC,NPU performance not publicly normalized,Applications processor + NPU + DSP,"Multi-stream ISP, H.264, edge sensing",ASIL-B product positioning and cybersecurity,Low,indie/GEO toolchain and perception software,"DMS/OMS, distributed camera intelligence and low-cost ADAS edge node",May not replace full dual-camera domain SoC; detailed DNN/tool support requires NDA,RFQ / design-in,https://www.indie.inc/vision-processing-2/
37,A1 — Automotive camera processor,indie Semiconductor,Vision,iND880 family,Automotive camera video processor,Pre-processing/AI capability; not a central TOPS platform,DSP/ISP and vision processing,"4 cameras / 8 streams, high-rate HDR processing",ASIL-B and cybersecurity positioning,Low,indie SDK,"Distributed surround cameras, e-mirror, DMS and smart sensor preprocessor",Not sufficient alone for full ADVIS perception/control stack,RFQ / design-in,https://www.indie.inc/vision-processing-2/
38,A1 — Automotive camera processor,indie Semiconductor,Vision,GW5 / iND87540 class,Automotive camera video SoC,Limited CV versus full NPU SoC,ISP/DSP/CV processor,"Up to 8MP or 5MP RGB-IR, HDR and geometric processing",AEC-Q100 Grade 2; ASIL-B,Very low,indie SDK/embedded algorithms,"DMS camera, smart surround node, dirty-lens/autocal preprocessor",Not a unified Forward Vision + DMS central compute solution,RFQ,https://www.indie.inc/product/gw5/
39,A1/A2 — Korean automotive,Telechips,Dolphin,Dolphin5,Automotive cockpit/ADAS SoC,Ethos-N78 NPU; performance not public,Cortex-A76 + Mali-G78AE + NPU,ADAS and cockpit camera/display integration,Uses Arm functional-safety IP packages; exact SoC certification requires RFQ,Mid,"Telechips SDK, Linux/QNX/Android ecosystem",Potential less-utilized cockpit+ADAS consolidation platform,"Limited public ADAS benchmarks, camera details and low-volume access",RFQ,https://newsroom.arm.com/news/telechips-selects-the-latest-arm-ip-for-its-next-generation-automotive-soc
40,A1/A2 — Host-plus-accelerator,Hailo,Hailo-8,Hailo-8 automotive,Automotive AI accelerator,26 TOPS,Requires host CPU/ISP or sensor front end,MIPI/PCIe interfaces; no full rich host by itself,AEC-Q100 Grade 2; ISO 26262 ASIL-B(D) compliant positioning,About 2.5 W typical,"HailoRT, Dataflow Compiler, ONNX/PyTorch/TensorFlow",Excellent way to add efficient AI to NXP/TI/Rockchip host; multiple DNNs and DMS+ADAS acceleration,"Needs separate host, ISP, safety MCU and vehicle interfaces; model operator constraints",Orderable modules / design-in IC,https://hailo.ai/products/ai-accelerators/hailo-8-ai-accelerator/
41,A1 — AI camera SoC,Hailo,Hailo-15,Hailo-15H automotive,AI vision processor,Vendor-specific high-performance camera AI,Integrated CPU/AI-ISP architecture,Camera-centric AI vision processor,Automotive -40 to 105°C option; exact safety package by SKU,Low,Hailo software suite,"DMS/OMS, smart camera and lower-power edge analytics",Automotive ADAS safety and multi-camera central capability need detailed RFQ,Distributor/design-in,https://hailo.ai/
42,B1 — Emerging auto-grade AI,Kneron,KL,KL730,Auto-grade edge AI SoC,0.35–4 effective TOPS vendor metric,Integrated NPU + ISP,Camera/edge AI,Auto-grade positioning; exact AEC-Q/ISO 26262 evidence requires supplier review,Very low,"Kneron PLUS SDK, ONNX conversion","Ultra-low-cost DMS, driver state, basic detection and auxiliary camera node",Not enough proven safety/open evidence for main ADAS ECU; eTOPS not comparable to INT8 TOPS,Orderable dev boards / RFQ,https://www.kneron.com/en/news/blog/178/
43,B1 — Emerging automotive accelerator,DEEPX,DX,DX-M1,Edge AI accelerator,25 TOPS INT8,Requires x86/Arm host,PCIe Gen3 x4; external host/ISP,AEC-Q100 Grade 3 listed; Grade 2 upon request,1–5 W,"DX SDK; ONNX/PyTorch/TensorFlow, Linux/Yocto",Low-power second accelerator for dual-camera workloads or prototype host upgrades,Not a standalone SoC; automotive safety certification and grade must be contracted; marketing metrics require benchmark,"M.2/IC, distributor/RFQ",https://deepx.ai/products/dx-m1/
44,B2 — Edge AI accelerator,Blaize,Pathfinder,P1600 SoM,Edge AI SoM,Vendor GSP metric; not TOPS-comparable,Graph Streaming Processor + host functions,External camera/host interfaces depending carrier,Automotive market positioning; certification evidence needs RFQ,Low-to-mid,Blaize AI Software Suite,Sensor-fusion and alternative edge-AI research,Limited public automotive safety and production details; small ecosystem,Orderable/RFQ,https://www.blaize.com/products/
45,B2 — Programmable automotive,AMD,Versal AI Edge,XA Versal AI Edge Gen 1/2,Automotive adaptive SoC,Device-dependent AI Engines; TOPS model-dependent,Arm processing system + FPGA fabric + AI Engines,"Custom multi-camera, SerDes, radar/lidar and deterministic pipelines",Automotive XA family with safety/security support by device/programme,Mid-to-high,"Vitis AI, FPGA tools, Linux/RTOS","Maximum interface flexibility, deterministic preprocessing and custom sensor fusion","Very high engineering NRE, FPGA expertise and tool/licensing cost; poor fit for lowest BOM",Orderable/RFQ,https://www.amd.com/en/products/adaptive-socs-and-fpgas/versal/ai-edge-series.html
46,B1 — Safety companion,Infineon,AURIX,TC4x,Automotive safety MCU with AI/PPU,Not a main vision TOPS device,TriCore + parallel processing unit depending SKU,No primary multi-camera ISP role,ISO 26262 up to ASIL-D system support,Low,"AUTOSAR/MCAL, safety ecosystem","Safety supervisor, vehicle interface, independent plausibility or radar/control companion",Cannot run ADVIS Forward Vision + DMS main neural workloads,Orderable,https://www.infineon.com/cms/en/product/microcontroller/32-bit-tricore-microcontroller/32-bit-tricore-aurix-tc4x/
47,B1 — Safety companion,STMicroelectronics,Stellar,Stellar P/G families,Automotive MCU/processor,Not a primary ADAS NPU platform,Arm/RISC-V safety compute depending family,Vehicle control/domain integration,ISO 26262-oriented automotive MCU family,Low-to-mid,"AUTOSAR, Stellar Studio","Safety/vehicle-control companion, gateway and actuation arbiter",Not a replacement for camera AI SoC,Orderable/RFQ,https://www.st.com/en/automotive-microcontrollers/stellar-32-bit-mcus.html
48,B2 — Cross-domain closed,MediaTek,Dimensity Auto,Dimensity Auto Drive,Automotive platform,Public performance not fixed,Heterogeneous automotive compute,ADAS/driver assistance and cockpit ecosystem,Automotive platform positioning,Mid-to-high,MediaTek partner ecosystem,Potential high-volume cross-domain alternative,Very limited public design-in access and safety/toolchain data,OEM/Tier-1 RFQ,https://www.mediatek.com/automotive
49,B2 — Cockpit-centric,Samsung,Exynos Auto,Exynos Auto V920,Automotive SoC,NPU present; cockpit-centric performance,10-core CPU + GPU/NPU architecture,Multiple camera/display support,Automotive platform positioning,High,Samsung automotive ecosystem,Cross-domain/cockpit fusion research,Not openly positioned as a safety ADAS perception SoC; restricted access,OEM RFQ,https://semiconductor.samsung.com/processor/automotive-processor/exynos-auto-v920/
50,C1 — Strong prototype,Rockchip,RK35,RK3588 / RK3588J,Consumer/industrial edge SoC,6 TOPS INT8-class NPU,4× Cortex-A76 + 4× Cortex-A55,"Multiple MIPI CSI, video codecs; ISP support depends BSP",No ISO 26262; industrial/consumer variants,8–15 W board class,"Linux/Android, RKNN Toolkit2, MPP, GStreamer","Excellent affordable ADVIS algorithm prototype for dual camera, DMS, surround experiments and web demos",Not automotive safety-qualified; BSP/kernel/camera-driver fragmentation; NPU operator/quantization limitations,Widely orderable SBCs/SoMs,https://www.rock-chips.com/a/en/products/RK35_Series/2022/0926/1660.html
51,C1 — Strong prototype,Rockchip,RK35,RK3576,Consumer/industrial edge SoC,6 TOPS NPU,4× Cortex-A72 + 4× Cortex-A53 class,Multi-camera ISP/video,No ISO 26262,Lower than RK3588,"Linux/Android, RKNN",Lower-cost modern dual-camera prototype and compact AI box,Newer ecosystem and no automotive safety; board availability varies,SBC/SoM,https://www.rock-chips.com/
52,C2 — Lowest prototype,Rockchip,RV11,RV1126 / RV1109,Vision SoC,Up to 2 TOPS class,Quad Cortex-A7 + NPU/ISP,Multi-camera security/vision ISP,No automotive safety,Very low,"Linux, RKNN/Rockchip media SDK","Cheap DMS-only, dashcam ADAS warning or camera recorder prototype",CPU/NPU too weak for full modern Forward Vision + DMS; older toolchain,Cheap modules / China B2B,https://www.rock-chips.com/a/en/products/RV11_Series/
53,C1 — China edge prototype,Axera,AX,AX650N,Edge AI SoC,43.2 TOPS class vendor-stated,Arm CPU + NPU,Multi-camera vision/codec,No public ISO 26262 production claim,Low-to-mid,"Pulsar/AXera SDK, ONNX conversion",High-compute low-cost perception prototype and multi-camera research,"Automotive grade, safety, cybersecurity and global lifecycle unproven",China boards / RFQ,https://www.axera-tech.com/en/
54,C2 — China edge prototype,Axera,AX,AX630C / AX620Q class,Edge vision SoC,3–8 TOPS depending SKU,Arm CPU + NPU,Integrated ISP/codec,No public automotive safety,Very low,Axera SDK,"DMS, low-cost camera analytics and warning-only prototype",Toolchain/community/export support and automotive compliance weak,China boards / B2B,https://www.axera-tech.com/en/
55,C1 — China edge prototype,Sophgo,CV/BM,CV186AH / BM1684X class,Edge AI SoC/accelerator,20 TOPS-class to higher depending SKU,Arm/RISC-V host + TPU,Camera support by board,No automotive safety evidence,Mid,"TPU-MLIR, ONNX/PyTorch conversion",Multi-camera AI box and accelerator research,Not an automotive SoC; software maturity and model support require evaluation,Boards / B2B,https://www.sophgo.com/
56,C2 — Low-cost vision prototype,Allwinner,V-series,V853 / R528 class,Consumer vision SoC,Sub-1 to ~1 TOPS class,Arm CPU + small NPU,Camera ISP and codec,No ISO 26262,Very low,Tina Linux / vendor SDK,"Cheapest DMS, DVR and simple warning demo",Insufficient for full ADVIS and weak long-term automotive support,China modules,https://www.allwinnertech.com/
57,C2 — Low-cost vision prototype,SigmaStar,SSC,SSC338Q / SSD20X class,Security-camera vision SoC,~1–2 TOPS class depending SKU,Arm CPU + NPU/ISP,Camera ISP/codec,No automotive safety,Very low,SigmaStar SDK,Ultra-low-cost DMS or camera analytics proof-of-concept,"Closed BSP, limited model portability, no safety/lifecycle evidence",China modules,https://www.sigmastarsemi.com/
