Rank,Tier,Sensor,Vendor,Market class,Automotive qualification,MP,Resolution,Optical format,Pixel size,Shutter,Max FPS,HDR / LFM,Typical interface,What it is good at,Main limitations,Prototype fit (1–5),Production fit (1–5),Sourcing status,Price seen,Supplier/platform,Supplier link,Official spec,Notes
14,B — Mainstream automotive,OX03C10,OmniVision,Automotive exterior/viewing; sensing candidate,Yes,2.5,1920 × 1280,"1/2.6""",3.0 µm,Rolling,Up to 60 fps,Up to 140 dB; HALE HDR + LFM,4-lane MIPI CSI-2; DVP; SerDes module,Excellent HDR/LFM at modest bandwidth,Less turnkey TI support; PWL/DCC effort,4,5,Alibaba + authorized channel,US$86–309 MOQ5; sample ~US$350; another listing US$60–88,Alibaba,https://www.alibaba.com/product-detail/OX03C10-2-5MP-HDR-Automotive_1601213026925.html,https://www.ovt.com/products/ox03c10/,Validate machine-vision RAW/PWL path.
15,B — Mainstream automotive,IMX390CQV,Sony,Automotive sensing,Yes,2.45,2017 × 1217,"1/2.7""",3.0 µm,Rolling,60 fps 10-bit / 40 fps 12-bit,~120 dB; simultaneous HDR + LFM,MIPI CSI-2; many FPD/GMSL/USB modules,Fastest TI/Jacinto PoC; mature ecosystem,Older 2.5 MP; pro modules costly,5,5,D3/Arducam/FabToLab/Mouser/Alibaba,"India USB ₹17,750.53; US$214.99 USB; FPD US$299–399; Alibaba US$60–88",FabToLab,https://www.fabtolab.com/arducam-2-3mp-imx390-usb3-camera,https://www.sony-semicon.com/files/62/pdf/p-15_IMX390.pdf,Best first TI development baseline.
16,B — Mainstream automotive,OX03F10,OmniVision,Automotive exterior/viewing,Yes,3,1920 × 1536,"1/2.44""",3.0 µm,Rolling,Up to 60 fps,Up to 140 dB HDR + LFM,MIPI CSI-2,3 MP HDR exterior camera,Fewer public sensing kits,2,4,Manufacturer/module partner,Quote only,OmniVision,,https://www.ovt.com/products/ox03f10/,Select only with tuning support.
17,C — Automotive legacy/niche,AR0323AT,onsemi,Automotive HDR sensing/viewing,"Yes, legacy",3.1,2880 × 1080,"1/2""",3.0 µm,Rolling,Up to 45 fps,>140 dB HDR; LFM,MIPI CSI-2,Wide-format HDR perception,Legacy/obsolete evaluation ecosystem,2,2,Residual stock,Quote/availability dependent,onsemi,,https://www.onsemi.com/products/sensors/image-sensors/ar0323at,Avoid for new long-life design.
18,C — Automotive legacy/niche,AR0147AT,onsemi,Automotive HDR,Yes,1.3,~1280 × 960,Small automotive format,3.0 µm class,Rolling,Automotive HD modes,Hayabusa HDR + LFM,MIPI CSI-2,Basic low-cost warning camera,Low resolution limits TSR/VRU range,2,3,Manufacturer/legacy partners,Quote only,onsemi,,https://www.onsemi.com/products/sensors/image-sensors/ar0147at,Budget safety-camera option.
19,C — Automotive legacy/niche,IMX290NQV,Sony,Automotive low-light,Yes,2.13,1920 × 1080,"1/2.8""",2.9 µm,Rolling,Up to 120 fps,Good WDR/low-light; older LFM capability,MIPI CSI-2/LVDS variants,Night imaging and high frame rate,Older HDR/LFM than IMX390,3,2,Industrial/automotive channels,"Mouser module around ₹21,633",Mouser India,https://www.mouser.in/ProductDetail/Vision-Components/VC-MIPI-IMX290-C,https://www.sony-semicon.com/en/products/is/automotive/automotive.html,"Low-light benchmark, not preferred production."
20,D — Industrial/security PoC,IMX678,Sony,Security/industrial STARVIS 2,No,8.4,3856 × 2180,"1/1.8""",2.0 µm,Rolling,4K60 modules common,Strong low-light; HDR implementation dependent,MIPI CSI-2 or USB3,"High-res PoC, signs and dataset capture",Not auto-qualified; USB may hide RAW behavior,5,2,FabToLab/Waveshare/Alibaba/Arducam,"India ~₹6,268–15,341; Alibaba USB US$59.80–62.80",Waveshare,https://www.waveshare.com/imx678-4k-camera.htm,https://www.sony-semicon.com/files/62/pdf/p-13-14_IMX678.pdf,Best-value high-resolution PoC.
21,D — Industrial/security PoC,IMX585,Sony,Security/industrial STARVIS 2,No,8.4,3840 × 2160 class,"1/1.2""",2.9 µm,Rolling,Module dependent,Excellent low-light; DOL HDR,MIPI/USB/IP modules,Night forward-vision research,Large optics/cost; no auto qualification,4,2,Alibaba/specialty vendors,MIPI US$85–145; USB US$115–200,Alibaba,https://www.alibaba.com/showroom/imx585-camera-module.html,https://www.sony-semicon.com/files/62/pdf/p-13-14_IMX585.pdf,"Excellent night sensor, not cheapest."
22,D — Industrial/security PoC,IMX675,Sony,Security STARVIS 2,No,5.12,2608 × 1964,"1/2.8""",2.0 µm,Rolling,80 fps 10-bit / 60 fps 12-bit,Clear HDR/DOL HDR,MIPI CSI-2,Modern compact 5 MP PoC,Modules less common; no auto grade,4,2,Specialty module suppliers,Quote/variable,Sony partners,,https://www.sony-semicon.com/files/62/pdf/p-13-14_IMX675.pdf,Middle ground IMX335–IMX678.
23,D — Industrial/security PoC,IMX462,Sony,Security STARVIS,No,2.13,1920 × 1080,"1/2.8""",2.9 µm,Rolling,Up to 120 fps,Excellent low-light/NIR; limited auto HDR/LFM,MIPI/USB/H.264 modules,Cheap night/low-light demo,2 MP; no safety/lifecycle; compressed modules limit tuning,5,1,Alibaba/Indian specialty modules,Alibaba sample ~US$39.90,Alibaba,https://www.alibaba.com/product-detail/IMX462-2MP-H264-USB-Camera_1600524839024.html,https://www.sony-semicon.com/files/62/pdf/p-13-14_IMX462LQR.pdf,Strong low-light prototype.
24,D — Industrial/security PoC,IMX335,Sony,Security STARVIS,No,5.14,2592 × 1944,"1/2.8""",2.0 µm,Rolling,Typically 30 fps at 5 MP,DOL HDR on supported modules,MIPI/USB/IP modules,Affordable 5 MP day/night prototype,Motion/HDR below automotive sensors,5,1,FabToLab/Alibaba/security vendors,"Alibaba US$8.90–28; FabToLab OIS USB ~₹20,286",Alibaba,https://www.alibaba.com/showroom/imx335-camera-module.html,https://www.sony-semicon.com/files/62/pdf/p-13-14_IMX335.pdf,Avoid assuming IP output equals raw ADAS quality.
25,D — Industrial/security PoC,IMX291,Sony,Security STARVIS,No,2.13,1920 × 1080,"1/2.8""",2.9 µm,Rolling,Up to 120 fps class,Good low-light/WDR; older,MIPI/USB dependent,Low-light 1080p PoC,Older and costly relative to newer options,4,1,Robu/industrial suppliers,"Robu ~₹5,438.88",Robu,https://robu.in/product-category/camera-and-displays/camera-modules/,https://www.sony-semicon.com/files/62/pdf/p-13-14_IMX291.pdf,Better night image than IMX219.
26,D — Industrial/security PoC,AR0234CS,onsemi,Industrial global shutter,No (industrial),2.3,1920 × 1200,"1/2.6""",3.0 µm,Global,Up to 120 fps,Limited HDR versus automotive rolling-shutter sensors,MIPI/USB/GMSL modules,"Tracking, optical flow, cut-in motion",Not a severe-HDR forward substitute; verify AT variant,4,2,Industrial partners,Quote/module dependent,onsemi partners,,https://www.onsemi.com/products/sensors/image-sensors/ar0234cs,Good motion benchmark.
27,D — Industrial/security PoC,SC500AI,SmartSens,Security/AIoT,No,5,2888 × 1628,"1/2.7""",2.0 µm,Rolling,Up to 60 fps,WDR/HDR; low-light oriented,MIPI CSI-2,China-source 5 MP prototype,Limited automotive ecosystem/traceability,3,1,China module vendors,Quote/variable,SmartSens partners,,https://www.smartsenstech.com/en/goods/detail/247.html,Buy only with full driver/module package.
28,E — DIY/research,IMX477,Sony,Consumer/industrial,No,12.3,4056 × 3040,"1/2.3""",1.55 µm,Rolling,1080p50 / 4K module modes,No automotive HDR/LFM,MIPI CSI-2; Pi HQ ecosystem,High-res daylight datasets; interchangeable lenses,"Small pixels, motion/HDR limits",5,1,Raspberry Pi/Indian retailers,"Typically ₹4,500–8,000 class",Raspberry Pi,https://www.raspberrypi.com/products/raspberry-pi-high-quality-camera/,https://www.sony-semicon.com/files/62/pdf/p-13-14_IMX477.pdf,Good optics research platform.
29,E — DIY/research,IMX577,Sony,Consumer/action camera,No,12.3,4056 × 3040,"1/2.3""",1.55 µm,Rolling,4K60-class modes,Consumer HDR; no auto LFM,MIPI/USB modules,Cheap high-res daylight road capture,Small pixels and rolling shutter,4,1,Alibaba/module vendors,Variable/quote,Module suppliers,,https://www.sony-semicon.com/files/62/pdf/p-13-14_IMX577.pdf,Common in embedded module ecosystem.
30,E — DIY/research,IMX219,Sony,Raspberry Pi/consumer,No,8,3280 × 2464,"1/4""",1.12 µm,Rolling,1080p30 / 720p60,No automotive HDR/LFM,2-lane MIPI CSI-2,Very cheap daytime lane/object demo,Weak night/HDR; tiny pixels; motion blur,5,1,Robu/ThinkRobotics/Robocraze,"₹949; ₹1,699.99; NoIR ~₹1,565",Indian retailers,https://robu.in/product/raspberry-pi-camera-board-v2-8mp/,https://www.sony-semicon.com/files/62/pdf/p-13-14_IMX219.pdf,Best cheap MIPI option above OV5647.
31,E — DIY/research,IMX258,Sony,Mobile/consumer,No,13,4208 × 3120,"1/3.06""",1.12 µm,Rolling,4K30-class module modes,Mobile HDR; no automotive LFM,MIPI CSI-2,Cheap high-res daytime experiments,Tiny pixels; drivers/ISP and traceability risk,3,1,Made-in-China,"US$22–27, commonly MOQ100",Made-in-China,https://www.made-in-china.com/showroom/imx258-camera-module.html,,Demand driver and pinout.
32,E — Cheapest practical,OV5640,OmniVision,Consumer/general-purpose with ISP,No,5,2592 × 1944,"1/4""",1.4 µm,Rolling,5 MP ~15 fps; 1080p30 typical,Basic ISP; no automotive LFM,MIPI/DVP/USB,Cheap daylight prototype; onboard ISP/JPEG,Poor night/HDR/motion,4,1,Made-in-China/Alibaba,"US$18–25, commonly MOQ100",Made-in-China,https://www.made-in-china.com/products-search/hot-china-products/OV5640_Camera_Module.html,https://www.ovt.com/products/ov5640/,Basic demo only.
33,E — Cheapest practical,OV5647,OmniVision,Raspberry Pi/consumer,No,5,2592 × 1944,"1/4""",1.4 µm,Rolling,1080p30 typical,No automotive HDR/LFM,MIPI CSI-2,Absolute-cheapest daylight demo,Very weak dynamic range/low-light/motion,5,1,Robocraze/Pi vendors,Robocraze ₹285 incl. GST,Robocraze,https://robocraze.com/products/raspberry-pi-camera-module-5mp,,Cheapest usable daylight choice.
34,E — Niche cheap motion,OV9281,OmniVision,Industrial global-shutter mono,No,1,1280 × 800,"1/4""",3.0 µm,Global,Up to 120 fps,No color; limited HDR,MIPI/USB,"Optical flow, lane geometry, high-speed tracking",Mono and 1 MP; poor TSR/color semantics,4,1,Made-in-China/Arducam,"US$16–18, commonly MOQ100",Made-in-China,https://www.made-in-china.com/showroom/ov9281-camera-module.html,https://www.ovt.com/products/ov9281/,Secondary research sensor.
35,E — Niche cheap motion,OV7251,OmniVision,Industrial global-shutter mono,No,0.3,640 × 480,"1/7.5""",3.0 µm,Global,Up to 120 fps,No HDR/color,MIPI/USB,Optical-flow experiments only,Far too low resolution for normal perception,2,1,Made-in-China,"US$18–20, commonly MOQ100",Made-in-China,https://www.made-in-china.com/showroom/ov7251-camera-module.html,https://www.ovt.com/products/ov7251/,Do not use as main camera.
36,E — Cheapest practical,OV2732,OmniVision,Security/general purpose,No,2,1920 × 1080,Small security format,~2.8–3.0 µm class,Rolling,1080p module-dependent,Basic WDR; no auto LFM,MIPI/DVP/USB dependent,Cheap 1080p general road demo,Unknown tuning/lifecycle,3,1,Made-in-China,"US$18–20, commonly MOQ100",Made-in-China,https://www.made-in-china.com/showroom/ov2732-camera-module.html,,Confirm exact revision/interface.
37,E — Legacy cheap,AR0330,onsemi,Legacy security/industrial,No,3,2304 × 1296 class,"1/3""",2.2 µm,Rolling,1080p60 class,Legacy HDR/WDR,MIPI/parallel/USB,Basic legacy PoC,Old and often overpriced,2,1,Made-in-China,"USB listing ~US$60, MOQ100",Made-in-China,https://www.made-in-china.com/showroom/ar0330-camera-module.html,https://www.onsemi.com/products/sensors/image-sensors/ar0330,Skip unless already supported.
